Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
;1.983.887;795.168;48.374;67.115;19.882;16.609;25
05314  BONN,STADT;104.792;61.949;1.609;6.331;1.648;1.099;115
05315  KOELN,STADT;326.277;137.673;5.304;19.829;5.431;3.204;15
05316  LEVERKUSEN,STADT;63.325;23.695;1.108;2.561;635;781;60
05334  AACHEN, STAEDTEREGION;200.367;83.273;5.708;6.648;1.934;2.145;49
05358  DUEREN;111.046;48.688;2.548;2.847;717;1.106;97
05362  RHEIN-ERFT-KREIS;197.871;76.743;3.273;5.962;1.410;1.347;22
05366  EUSKIRCHEN;85.800;43.597;1.823;3.042;668;770;26
05370  HEINSBERG;102.520;52.897;4.697;2.881;743;815;41
05374  OBERBERGISCHER KREIS;118.104;55.463;1.934;3.114;864;901;27
05378  RHEIN.-BERGISCHER KREIS;128.036;47.454;2.021;4.424;1.161;1.330;73
05382  RHEIN-SIEG-KREIS;253.226;105.913;4.768;7.475;1.877;2.181;550
;1.691.364;737.345;34.793;65.114;17.088;15.679;10
05512  BOTTROP,STADT;52.012;14.797;1.265;1.144;252;337;13
05513  GELSENKIRCHEN,STADT;91.474;27.875;2.295;2.393;543;464;33
05515  MUENSTER,STADT;93.241;50.288;1.718;3.398;1.182;1.599;24
05554  BORKEN;130.528;89.204;4.693;3.123;1.102;1.465;18
05558  COESFELD;86.457;50.249;1.958;2.448;538;897;72
05562  RECKLINGHAUSEN;260.916;84.951;5.603;6.616;1.543;1.569;29
05566  STEINFURT;168.451;100.336;3.437;4.246;1.175;1.772;20
05570  WARENDORF;112.296;56.885;1.910;2.610;766;1.141;219
;995.375;474.585;22.879;25.978;7.101;9.244;23
05711  BIELEFELD,STADT;112.803;54.668;1.850;3.730;1.022;2.052;34
05754  GUETERSLOH;149.015;75.899;2.214;3.965;1.310;1.535;29
05758  HERFORD;111.197;47.358;1.732;2.721;843;1.055;17
05762  HOEXTER;57.172;30.538;1.034;1.141;304;487;46
05766  LIPPE;143.536;68.063;2.680;3.012;905;1.463;32
05770  MINDEN-LUEBBECKE;135.390;62.626;2.161;3.386;844;1.244;18
05774  PADERBORN;114.847;62.955;2.405;3.410;1.068;1.619;199
;823.960;402.107;14.076;21.365;6.296;9.455;21
05911  BOCHUM,STADT;152.375;45.496;2.609;5.927;1.220;1.318;45
05913  DORTMUND,STADT;207.485;76.951;3.537;6.472;1.927;1.773;19
05914  HAGEN,STADT;71.206;25.247;1.056;1.946;553;449;11
05915  HAMM,STADT;67.807;27.912;1.086;1.593;415;537;15
05916  HERNE,STADT;59.037;16.702;1.356;1.258;282;268;30
05954  ENNEPE-RUHR-KREIS;144.704;48.687;2.517;3.856;1.093;1.142;26
05958  HOCHSAUERLANDKREIS;106.540;57.491;1.364;2.701;733;954;44
05962  MAERKISCHER KREIS;175.634;71.036;2.518;4.870;1.331;1.110;17
05966  OLPE;58.383;29.578;547;1.489;457;441;25
05970  SIEGEN-WITTGENSTEIN;119.831;52.222;1.098;3.593;1.048;930;30
05974  SOEST;124.811;61.427;2.209;2.954;1.082;1.435;50
05978  UNNA;169.107;63.939;2.852;4.563;1.144;1.393;333
